Skill,Resource Name,Resource Link,Source
P&L Analysis,Understanding Financial Statements,https://www.coursera.org/learn/income-statement,Coursera
P&L Analysis,The Complete Financial Statement Analysis Course,https://www.udemy.com/the-complete-financial-statement-analysis-course/,Udemy
P&L Analysis,Understanding Financial Statements,https://www.ecornell.com/courses/financial-management/understanding-financial-statements/,Cornell
Margin Optimization,Financial Management Specialization,https://www.coursera.org/specializations/financial-management,Coursera
Margin Optimization,Business Analytics Specialization,https://www.coursera.org/specializations/business-analytics,Coursera
Margin Optimization,Business Statistics & Analysis Specialization,https://www.coursera.org/specializations/business-statistics-analysis,Coursera
Data Analysis,,,
Data Analysis,,,
Data Analysis,,,
Financial Modeling,Business & Financial Modeling Specialization,https://www.coursera.org/specializations/wharton-business-financial-modeling,Wharton
Financial Modeling,,,
Financial Modeling,,,
Presentation,,,
Presentation,,,
Presentation,,,
Project Management,,,
Project Management,,,
Project Management,,,
Talent Management,,,
Talent Management,,,
Talent Management,,,
Team Development,,,
Team Development,,,
Team Development,,,
Risk Management,,,
Risk Management,,,
Risk Management,,,
CapEx Strategy,,,
CapEx Strategy,,,
CapEx Strategy,,,
*Data Extraction,,,
*Data Extraction,,,
*Data Extraction,,,
*Data Extraction,,,
*Data Extraction,,,
*SQL,,,
*SQL,,,
*SQL,,,
*SQL,,,
*SQL,,,
*Python,,,
*Python,,,
*Python,,,
*Python,,,
*Python,,,
*HTML,,,
*HTML,,,
*HTML,,,
*HTML,,,
*HTML,,,
*Javascript,,,
*Javascript,,,
*Javascript,,,
*Javascript,,,
*Javascript,,,
Design Thinking,,,
Design Thinking,,,
Design Thinking,,,
Design Thinking,,,
Design Thinking,,,
*UX Design,,,
*UX Design,,,
*UX Design,,,
*UX Design,,,
*UX Design,,,
*App Store Optimization,,,
*App Store Optimization,,,
*App Store Optimization,,,
*App Store Optimization,,,
*App Store Optimization,,,
*Product Marketing,,,
*Product Marketing,,,
*Product Marketing,,,
*Product Marketing,,,
*Product Marketing,,,
Data Analysis,,,
Data Analysis,,,
Data Analysis,,,
Data Analysis,,,
Story / Issue Ticketing,,,
Story / Issue Ticketing,,,
Story / Issue Ticketing,,,
Story / Issue Ticketing,,,
Analytics Software,,,
Analytics Software,,,
Analytics Software,,,
Analytics Software,,,
A/B Testing,,,
A/B Testing,,,
A/B Testing,,,
A/B Testing,,,
Prototype Design,,,
Prototype Design,,,
Prototype Design,,,
Prototype Design,,,
Experiment Design,,,
Experiment Design,,,
Experiment Design,,,
Experiment Design,,,
Roadmapping,,,
Roadmapping,,,
Roadmapping,,,
Roadmapping,,,
API Integration,,,
API Integration,,,
API Integration,,,
API Integration,,,
Team Management,,,
Team Management,,,
Team Management,,,
Team Management,,,
Strategy,,,
Strategy,,,
Strategy,,,
Strategy,,,
